StudentID,Date,Status,Reason
STU001,2025-06-01,Present,
STU001,2025-06-02,Present,
STU001,2025-06-03,Present,
STU001,2025-06-04,Present,
STU001,2025-06-05,Present,
STU001,2025-06-06,Present,
STU001,2025-06-07,Present,
STU001,2025-06-08,Present,
STU001,2025-06-09,Present,
STU001,2025-06-10,Present,
STU001,2025-06-11,Present,
STU001,2025-06-12,Present,
STU001,2025-06-13,Present,
STU001,2025-06-14,Present,
STU001,2025-06-15,Absent,Family Function
STU001,2025-06-16,Present,
STU001,2025-06-17,Present,
STU001,2025-06-18,Present,
STU001,2025-06-19,Present,
STU001,2025-06-20,Present,
STU002,2025-06-01,Present,
STU002,2025-06-02,Present,
STU002,2025-06-03,Present,
STU002,2025-06-04,Present,
STU002,2025-06-05,Present,
STU002,2025-06-06,Present,
STU002,2025-06-07,Present,
STU002,2025-06-08,Present,
STU002,2025-06-09,Absent,Sick Leave
STU002,2025-06-10,Present,
STU002,2025-06-11,Present,
STU002,2025-06-12,Present,
STU002,2025-06-13,Present,
STU002,2025-06-14,Present,
STU002,2025-06-15,Present,
STU002,2025-06-16,Present,
STU002,2025-06-17,Absent,Travel
STU002,2025-06-18,Present,
STU002,2025-06-19,Present,
STU002,2025-06-20,Present,
STU003,2025-06-01,Present,
STU003,2025-06-02,Present,
STU003,2025-06-03,Present,
STU003,2025-06-04,Present,
STU003,2025-06-05,Present,
STU003,2025-06-06,Present,
STU003,2025-06-07,Present,
STU003,2025-06-08,Present,
STU003,2025-06-09,Present,
STU003,2025-06-10,Present,
STU003,2025-06-11,Present,
STU003,2025-06-12,Present,
STU003,2025-06-13,Present,
STU003,2025-06-14,Present,
STU003,2025-06-15,Present,
STU003,2025-06-16,Present,
STU003,2025-06-17,Present,
STU003,2025-06-18,Present,
STU003,2025-06-19,Present,
STU003,2025-06-20,Present,
STU004,2025-06-01,Present,
STU004,2025-06-02,Present,
STU004,2025-06-03,Present,
STU004,2025-06-04,Present,
STU004,2025-06-05,Present,
STU004,2025-06-06,Present,
STU004,2025-06-07,Present,
STU004,2025-06-08,Present,
STU004,2025-06-09,Present,
STU004,2025-06-10,Present,
STU004,2025-06-11,Present,
STU004,2025-06-12,Present,
STU004,2025-06-13,Present,
STU004,2025-06-14,Present,
STU004,2025-06-15,Present,
STU004,2025-06-16,Present,
STU004,2025-06-17,Present,
STU004,2025-06-18,Present,
STU004,2025-06-19,Present,
STU004,2025-06-20,Present,
STU005,2025-06-01,Present,
STU005,2025-06-02,Present,
STU005,2025-06-03,Present,
STU005,2025-06-04,Present,
STU005,2025-06-05,Present,
STU005,2025-06-06,Present,
STU005,2025-06-07,Present,
STU005,2025-06-08,Present,
STU005,2025-06-09,Present,
STU005,2025-06-10,Present,
STU005,2025-06-11,Absent,Family Function
STU005,2025-06-12,Absent,Sick Leave
STU005,2025-06-13,Present,
STU005,2025-06-14,Present,
STU005,2025-06-15,Present,
STU005,2025-06-16,Present,
STU005,2025-06-17,Present,
STU005,2025-06-18,Present,
STU005,2025-06-19,Present,
STU005,2025-06-20,Present,
STU006,2025-06-01,Present,
STU006,2025-06-02,Absent,Travel
STU006,2025-06-03,Present,
STU006,2025-06-04,Present,
STU006,2025-06-05,Present,
STU006,2025-06-06,Present,
STU006,2025-06-07,Present,
STU006,2025-06-08,Present,
STU006,2025-06-09,Present,
STU006,2025-06-10,Present,
STU006,2025-06-11,Present,
STU006,2025-06-12,Present,
STU006,2025-06-13,Present,
STU006,2025-06-14,Present,
STU006,2025-06-15,Present,
STU006,2025-06-16,Present,
STU006,2025-06-17,Present,
STU006,2025-06-18,Present,
STU006,2025-06-19,Present,
STU006,2025-06-20,Absent,Medical
STU007,2025-06-01,Present,
STU007,2025-06-02,Present,
STU007,2025-06-03,Present,
STU007,2025-06-04,Present,
STU007,2025-06-05,Present,
STU007,2025-06-06,Present,
STU007,2025-06-07,Present,
STU007,2025-06-08,Present,
STU007,2025-06-09,Present,
